issue_id, start_time, abandoned/resolved, answer_time, abandoned_time, resolved_time
1023, 6:24, abandoned, 16:02, 17:50,
1619, 6:35, abandoned, 17:50, 18:12,
1732, 8:44, abandoned, 18:12, 18:12,
1941, 8:39, resolved, 18:12, , 18:22
1549, 7:31, resolved, 18:22, , 19:15
1935, 9:08, resolved, 19:15, , 19:36
1249, 8:31, abandoned, 19:36, 21:00,
1599, 11:44, resolved, 21:00, , 22:04
1808, 11:27, abandoned, 22:04, 22:55,
1778, 12:07, abandoned, 22:55, 23:09,
1143, 11:45, resolved, 23:09, , 23:35
1898, 12:44, abandoned, 23:35, 23:48,
1389, 13:45, abandoned, 23:48, 0:46,
1615, 1:55, abandoned, 1:55, 2:00,
1302, 4:08, resolved, 4:08, , 5:30
1339, 6:39, abandoned, 6:39, 6:58,
1632, 7:26, abandoned, 7:26, 8:04,
1928, 8:55, resolved, 8:55, , 9:33
1700, 12:00, abandoned, 12:00, 12:44,
1656, 2:07, resolved, 12:44, , 12:56
1462, 12:27, resolved, 12:56, , 13:50
1799, 1:31, resolved, 13:50, , 14:48
1351, 4:06, resolved, 14:48, , 15:05
1574, 5:22, abandoned, 15:05, 15:42,
1544, 5:16, abandoned, 15:42, 16:50,
1676, 6:41, resolved, 16:50, , 17:56
1837, 5:58, abandoned, 17:56, 18:31,
1796, 7:41, abandoned, 18:31, 19:13,
1057, 9:47, abandoned, 19:13, 20:38,
1388, 9:38, abandoned, 20:38, 20:58,
1329, 10:53, abandoned, 20:58, 21:17,
1590, 11:22, resolved, 21:17, , 22:09
1922, 12:59, abandoned, 22:09, 23:25,
1388, 12:51, resolved, 23:25, , 23:41
1210, 12:49, resolved, 23:41, , 0:48
1558, 1:06, resolved, 1:06, , 1:48
1274, 3:58, resolved, 3:58, , 4:11
1503, 6:06, resolved, 6:06, , 6:52
1218, 8:34, resolved, 8:34, , 9:17
1328, 11:22, abandoned, 11:22, 12:06,
1899, 12:46, abandoned, 12:46, 13:32,
1712, 3:47, resolved, 13:32, , 13:42
1558, 2:15, resolved, 13:42, , 14:35
1798, 3:39, resolved, 14:35, , 15:17
1571, 4:37, resolved, 15:17, , 16:25
1825, 4:47, resolved, 16:25, , 17:00
1463, 6:50, abandoned, 17:00, 17:30,
1231, 6:38, abandoned, 17:30, 17:48,
1477, 7:36, resolved, 17:48, , 18:39
1213, 7:14, resolved, 18:39, , 20:00
1316, 10:22, abandoned, 20:00, 21:54,
1901, 9:53, abandoned, 21:54, 22:33,
1616, 11:57, resolved, 22:33, , 23:19
1256, 12:22, abandoned, 23:19, 0:19,
1036, 2:19, abandoned, 2:19, 3:22,
1678, 5:55, resolved, 5:55, , 6:53
1355, 8:31, abandoned, 8:31, 9:34,
1803, 10:43, abandoned, 10:43, 11:33,
1914, 1:01, resolved, 11:33, , 12:02
1256, 1:52, abandoned, 12:02, 12:18,
1748, 1:20, abandoned, 12:18, 13:09,
1441, 1:50, resolved, 13:09, , 13:34
1442, 2:10, resolved, 13:34, , 14:31
1114, 2:20, resolved, 14:31, , 15:34
1145, 4:17, abandoned, 15:34, 16:36,
1740, 5:15, abandoned, 16:36, 17:54,
1215, 5:57, abandoned, 17:54, 18:09,
1217, 8:52, abandoned, 18:09, 18:14,
1491, 8:27, abandoned, 18:14, 19:53,
1874, 7:31, resolved, 19:53, , 20:24
1315, 10:07, abandoned, 20:24, 21:46,
1955, 9:32, resolved, 21:46, , 22:10
1175, 10:44, abandoned, 22:10, 22:22,
1815, 11:02, abandoned, 22:22, 23:15,
1821, 11:12, resolved, 23:15, , 23:45
1941, 11:36, resolved, 23:45, , 23:50
1573, 12:41, resolved, 23:50, , 1:01
1890, 2:20, abandoned, 2:20, 2:42,
1317, 4:31, resolved, 4:31, , 5:56
1102, 7:54, resolved, 7:54, , 8:20
1931, 10:32, abandoned, 10:32, 11:34,
1793, 12:46, abandoned, 12:46, 13:27,
1791, 3:29, abandoned, 13:27, 13:44,
1814, 1:44, resolved, 13:44, , 14:48
1368, 5:00, resolved, 14:48, , 15:11
1393, 4:36, resolved, 15:11, , 16:14
1216, 5:42, abandoned, 16:14, 17:17,
1569, 7:44, resolved, 17:17, , 18:12
1299, 8:31, abandoned, 18:12, 18:49,
1274, 8:38, abandoned, 18:49, 19:19,
1764, 8:36, resolved, 19:19, , 20:57
1958, 10:26, resolved, 20:57, , 21:02
1114, 9:32, resolved, 21:02, , 22:14
1520, 11:46, abandoned, 22:14, 22:43,
1366, 12:02, abandoned, 22:43, 23:24,
1058, 13:48, resolved, 23:24, , 0:06
1419, 2:46, abandoned, 2:46, 3:48,
1629, 3:47, resolved, 3:48, , 4:20
1275, 6:59, abandoned, 6:59, 7:38,
1801, 9:26, resolved, 9:26, , 10:31
1562, 12:53, abandoned, 12:53, 13:26,
1902, 2:46, resolved, 13:26, , 14:33
1136, 4:18, abandoned, 14:33, 15:44,
1453, 5:12, resolved, 15:44, , 16:32
1038, 5:52, resolved, 16:32, , 16:43
1908, 5:45, resolved, 16:43, , 16:52
1427, 6:00, abandoned, 16:52, 17:08,
1589, 5:59, abandoned, 17:08, 17:32,
1225, 6:53, abandoned, 17:32, 18:20,
1902, 7:35, resolved, 18:20, , 18:40
1149, 6:55, abandoned, 18:40, 19:37,
1448, 9:18, resolved, 19:37, , 19:49
1850, 9:09, abandoned, 19:49, 20:37,
1482, 9:28, resolved, 20:37, , 21:10
1995, 9:33, abandoned, 21:10, 22:04,
1517, 11:17, abandoned, 22:04, 22:15,
1401, 11:34, abandoned, 22:15, 23:15,
1699, 12:01, abandoned, 23:15, 0:38,
1671, 1:41, abandoned, 1:41, 1:48,
1531, 3:27, resolved, 3:27, , 4:47
1011, 5:36, abandoned, 5:36, 5:42,
1481, 7:38, abandoned, 7:38, 8:46,
1074, 9:47, abandoned, 9:47, 10:25,
1078, 12:25, resolved, 12:25, , 12:27
1796, 2:12, resolved, 12:27, , 12:27
1175, 1:44, abandoned, 12:27, 14:01,
1158, 4:31, abandoned, 14:01, 14:46,
1475, 4:15, resolved, 14:46, , 15:55
1806, 5:11, abandoned, 15:55, 16:23,
1672, 6:30, resolved, 16:23, , 16:35
1707, 6:32, abandoned, 16:35, 16:39,
1766, 6:17, abandoned, 16:39, 17:17,
1909, 5:34, resolved, 17:17, , 18:15
1632, 7:32, resolved, 18:15, , 19:07
1716, 9:09, resolved, 19:07, , 20:39
1822, 10:18, resolved, 20:39, , 20:49
1893, 10:58, resolved, 20:49, , 21:18
1505, 11:39, abandoned, 21:18, 22:37,
1264, 11:17, abandoned, 22:37, 23:03,
1566, 11:52, resolved, 23:03, , 0:23
1901, 2:44, abandoned, 2:44, 3:25,
1087, 5:02, resolved, 5:02, , 5:08
1191, 5:09, abandoned, 5:09, 6:55,
1914, 7:12, abandoned, 7:12, 7:47,
1972, 8:30, resolved, 8:30, , 8:56
1838, 9:05, resolved, 9:05, , 9:55
1254, 11:11, abandoned, 11:11, 11:15,
1873, 12:32, abandoned, 12:32, 12:40,
1144, 1:50, abandoned, 12:40, 13:06,
1583, 3:28, resolved, 13:06, , 13:37
1979, 3:01, abandoned, 13:37, 14:30,
1891, 4:59, resolved, 14:30, , 15:17
1937, 4:29, abandoned, 15:17, 16:51,
1121, 4:50, resolved, 16:51, , 16:56
1556, 6:53, resolved, 16:56, , 17:57
1798, 6:19, resolved, 17:57, , 18:52
1539, 7:39, abandoned, 18:52, 19:14,
1201, 7:50, abandoned, 19:14, 20:56,
1840, 9:23, abandoned, 20:56, 21:07,
1991, 9:25, abandoned, 21:07, 21:22,
1727, 11:08, resolved, 21:22, , 21:26
1681, 11:46, abandoned, 21:26, 22:52,
1570, 12:24, resolved, 22:52, , 23:06
1739, 11:49, resolved, 23:06, , 23:59
1913, 11:59, resolved, 23:59, , 0:24
1845, 2:08, resolved, 2:08, , 3:32
1455, 4:55, abandoned, 4:55, 5:08,
1503, 7:37, abandoned, 7:37, 8:27,
1997, 9:18, resolved, 9:18, , 10:26
1718, 12:47, resolved, 12:47, , 12:53
1270, 1:34, abandoned, 12:53, 13:20,
1335, 2:25, resolved, 13:20, , 13:22
1595, 2:24, abandoned, 13:22, 14:52,
1801, 2:32, abandoned, 14:52, 15:44,
1892, 5:35, abandoned, 15:44, 16:58,
1479, 5:00, abandoned, 16:58, 16:59,
1239, 6:59, resolved, 16:59, , 17:02
1616, 7:48, abandoned, 17:02, 17:54,
1510, 7:05, abandoned, 17:54, 18:04,
1011, 7:44, resolved, 18:04, , 18:23
1125, 7:41, resolved, 18:23, , 19:37
1912, 8:44, abandoned, 19:37, 19:46,
1677, 9:03, resolved, 19:46, , 20:27
1232, 8:09, abandoned, 20:27, 21:14,
1909, 11:32, resolved, 21:14, , 22:06
1013, 11:56, abandoned, 22:06, 23:54,
1553, 12:54, abandoned, 23:54, 0:09,
1669, 2:43, resolved, 2:43, , 3:36
1794, 5:27, abandoned, 5:27, 6:20,
1469, 7:23, abandoned, 7:23, 8:27,
1314, 10:36, abandoned, 10:36, 10:55,
1301, 10:41, resolved, 10:55, , 11:47
1633, 1:23, resolved, 11:47, , 12:39
1103, 2:44, abandoned, 12:39, 13:28,
1306, 3:20, abandoned, 13:28, 13:37,
1406, 2:48, resolved, 13:37, , 14:34
1346, 2:53, resolved, 14:34, , 14:59
1899, 3:01, resolved, 14:59, , 15:11
